"Conc","Repet","nLarvas","Total","Ensaio"
0,1,27,30,"1"
1,1,24,30,"1"
10,1,13,30,"1"
20,1,6,30,"1"
30,1,1,30,"1"
40,1,0,30,"1"
50,1,0,30,"1"
60,1,0,30,"1"
70,1,0,30,"1"
80,1,0,30,"1"
90,1,0,30,"1"
100,1,0,30,"1"
0,2,23,30,"1"
1,2,24,30,"1"
10,2,11,30,"1"
20,2,6,30,"1"
30,2,0,30,"1"
40,2,0,30,"1"
50,2,0,30,"1"
60,2,0,30,"1"
70,2,0,30,"1"
80,2,0,30,"1"
90,2,0,30,"1"
100,2,0,30,"1"
0,3,26,30,"1"
1,3,23,30,"1"
10,3,11,30,"1"
20,3,6,30,"1"
30,3,1,30,"1"
40,3,0,30,"1"
50,3,0,30,"1"
60,3,0,30,"1"
70,3,0,30,"1"
80,3,0,30,"1"
90,3,0,30,"1"
100,3,0,30,"1"
0,1,22,30,"2"
100,1,19,30,"2"
200,1,14,30,"2"
300,1,8,30,"2"
400,1,13,30,"2"
500,1,10,30,"2"
600,1,11,30,"2"
700,1,6,30,"2"
800,1,5,30,"2"
900,1,2,30,"2"
1000,1,3,30,"2"
0,2,20,30,"2"
100,2,16,30,"2"
200,2,18,30,"2"
300,2,12,30,"2"
400,2,10,30,"2"
500,2,9,30,"2"
600,2,8,30,"2"
700,2,1,30,"2"
800,2,5,30,"2"
900,2,6,30,"2"
1000,2,1,30,"2"
0,3,22,30,"2"
100,3,16,30,"2"
200,3,11,30,"2"
300,3,13,30,"2"
400,3,12,30,"2"
500,3,10,30,"2"
600,3,8,30,"2"
700,3,1,30,"2"
800,3,3,30,"2"
900,3,5,30,"2"
1000,3,2,30,"2"
