US,DS,RP,CO ,Argila ,Tensao,Camada
6.85,1.77,4.37,9.94,16,83.0,0-20
10.61,1.58,1.64,26.89,13,64.7,0-20
6.63,1.79,5.15,9.94,18,93.5,0-20
6.63,1.78,4.83,9.94,18,87.5,0-20
10.72,1.57,0.40,27.80,12,61.0,0-20
11.93,1.56,0.74,24.18,12,61.9,0-20
10.28,1.61,1.64,24.85,13,67.9,0-20
8.95,1.68,2.80,18.08,14,69.4,0-20
9.83,1.65,2.14,20.11,14,68.0,0-20
7.18,1.68,3.99,9.94,14,72.7,0-20
11.49,1.58,2.19,27.57,13,65.0,0-20
9.39,1.64,1.98,20.11,13,68.0,0-20
11.05,1.63,1.75,26.89,14,66.1,0-20
7.85,1.68,3.38,16.72,15,70.0,0-20
8.07,1.68,2.78,18.08,15,69.9,0-20
7.18,1.71,4.31,9.94,13,76.4,0-20
7.29,1.71,3.31,9.94,15,70.7,0-20
6.52,1.80,6.15,9.94,17,94.2,0-20
10.94,1.58,1.99,28.92,11,65.0,0-20
6.30,1.81,5.73,7.23,18,95.8,0-20
10.39,1.58,1.99,22.82,13,67.7,0-20
5.97,1.88,6.54,9.94,18,95.9,0-20
10.28,1.65,2.22,17.40,14,68.5,0-20
7.40,1.67,3.65,14.69,14,70.6,0-20
7.51,1.67,3.30,13.33,16,70.5,0-20
7.96,1.68,3.24,16.72,14,70.0,0-20
10.61,1.61,1.82,24.18,15,66.4,0-20
6.85,1.72,4.68,9.94,15,79.9,0-20
11.60,1.57,1.37,26.89,14,61.1,0-20
10.94,1.57,1.10,25.53,14,61.9,0-20
9.94,1.63,2.71,20.79,15,68.4,0-20
6.74,1.73,4.55,9.94,16,83.5,0-20
7.29,1.68,3.71,13.33,14,72.0,0-20
11.05,1.60,1.87,26.89,13,66.7,0-20
7.07,1.73,4.75,9.94,17,78.4,0-20
9.17,1.66,2.34,17.40,14,69.0,0-20
7.29,1.68,3.43,11.98,13,70.7,0-20
7.18,1.73,4.17,9.94,16,77.7,0-20
7.18,1.71,3.41,9.94,15,72.7,0-20
10.17,1.64,2.94,22.14,14,68.5,0-20
6.85,1.73,4.35,9.94,15,79.3,0-20
7.18,1.73,4.04,9.94,15,77.0,0-20
12.27,1.53,1.48,18.75,14,63.4,20-40
12.27,1.59,2.09,18.08,13,67.2,20-40
9.5,1.65,2.04,8.59,16,68.9,20-40
9.28,1.87,5.68,7,20,92,20-40
9.39,1.7,2.96,7.91,17,76.9,20-40
11.16,1.65,2.1,16.72,16,67.9,20-40
10.17,1.66,2.95,13.33,16,70.2,20-40
8.73,1.65,2.09,10.62,14,69.1,20-40
7.96,1.66,2.35,14.01,16,70.7,20-40
8.51,1.83,4.37,7,17,91.7,20-40
11.93,1.5,1,22.14,13,63.9,20-40
8.62,1.66,2.46,7.23,16,70.8,20-40
8.4,1.66,2.55,11.3,16,70.5,20-40
7.4,1.72,3.21,7.91,15,85.5,20-40
9.94,1.71,2.89,7,18,80.4,20-40
8.62,1.75,3.75,7,20,83.9,20-40
10.94,1.6,1.86,16.72,17,66.7,20-40
12.15,1.53,1.37,21.46,13,62.7,20-40
14.14,1.62,1.48,18.75,14,66.3,20-40
13.59,1.61,1.64,18.08,16,66,20-40
11.49,1.57,1.64,17.4,12,65.2,20-40
9.17,1.72,3.38,9.94,17,79.5,20-40
13.37,1.56,0.96,16.72,13,62.1,20-40
9.06,1.72,2.99,7,18,80.6,20-40
8.07,1.66,2.56,9.94,14,70.5,20-40
9.17,1.66,2.52,14.69,16,72.6,20-40
10.83,1.71,2.89,9.26,17,74.2,20-40
8.29,1.76,3.96,7,18,88.3,20-40
12.82,1.63,2.52,14.01,15,68.4,20-40
8.95,1.69,3.19,9.26,17,72.9,20-40
11.82,1.62,2.49,15.36,18,67.6,20-40
8.18,1.86,5.21,7,21,91,20-40
8.51,1.72,3.02,8.59,18,78,20-40
8.73,1.69,3.06,11.3,16,71.5,20-40
9.72,1.72,2.43,8.59,18,79.5,20-40
11.49,1.44,1.96,20.11,14,66.7,20-40
9.39,1.63,2.07,14.69,13,68.5,20-40
8.62,1.87,4.29,3.16,21,96.5,20-40
12.04,1.54,1.02,16.72,12,63.1,20-40
10.06,1.65,2.72,14.69,14,69.3,20-40
8.51,1.68,2.46,9.94,16,70.4,20-40
7.73,1.69,3.13,9.94,17,71.3,20-40
