genotipo,bloco,resp
W,1,20.02
X,1,22.67
Y,1,16.03
Z,1,22.31
01,1,30.66
02,1,16.61
03,1,20.24
04,1,46.59
05,1,18.12
06,1,17.64
07,1,17.47
08,1,16.16
09,1,21.12
10,1,15.81
W,2,18.22
X,2,22.64
Y,2,23.61
Z,2,20.84
11,2,16.85
12,2,44.94
13,2,18.33
14,2,15.29
15,2,15.7
16,2,17.74
17,2,15.51
18,2,23.76
19,2,14.4
20,2,18.39
W,3,21.45
X,3,22.89
Y,3,20.45
Z,3,23.88
21,3,20.03
22,3,19.69
23,3,17.18
24,3,38.07
25,3,15.33
26,3,21.47
27,3,25.12
28,3,23.14
29,3,20.69
30,3,17.47
W,4,19.97
X,4,19.97
Y,4,20.61
Z,4,20.47
31,4,22.61
32,4,10.99
33,4,16.01
34,4,10.79
35,4,18.3
36,4,17.91
37,4,16.15
38,4,23.43
39,4,14.55
40,4,16.79
