local,trat,bloco,resp
A,0,1,1.58
A,0,2,2.1392
A,0,3,1.2695
A,0,4,2.3407
A,0,5,2.2386
A,0,6,1.2396
A,0,7,1.4109
A,250,1,1.6195
A,250,2,1.4734
A,250,3,1.3105
A,250,4,2.9358
A,250,5,1.6114
A,250,6,1.7958
A,250,7,2.9627
A,500,1,1.0629
A,500,2,1.5847
A,500,3,1.4821
A,500,4,2.4203
A,500,5,1.7243
A,500,6,1.6091
A,500,7,1.4554
A,750,1,1.463
A,750,2,1.2226
A,750,3,1.8551
A,750,4,2.9422
A,750,5,2.879
A,750,6,1.1466
A,750,7,1.7518
A,1000,1,1.6279
A,1000,2,1.4521
A,1000,3,1.1814
A,1000,4,1.5795
A,1000,5,1.8655
A,1000,6,2.0575
A,1000,7,1.2922
B,0,1,0.8545
B,0,2,0.4857
B,0,3,0.4169
B,0,4,0.8674
B,0,5,0.2679
B,0,6,0.5176
B,0,7,0.827
B,250,1,0.2239
B,250,2,0.2865
B,250,3,0.4751
B,250,4,0.4199
B,250,5,0.7876
B,250,6,0.4148
B,250,7,0.1339
B,500,1,0.1679
B,500,2,0.5545
B,500,3,0.1608
B,500,4,0.2193
B,500,5,0.552
B,500,6,0.56
B,500,7,0.4563
B,750,1,0.1613
B,750,2,0.1495
B,750,3,0.8755
B,750,4,0.4369
B,750,5,0.7957
B,750,6,0.7608
B,750,7,0.2188
B,1000,1,0.2669
B,1000,2,0.89
B,1000,3,0.3473
B,1000,4,0.507
B,1000,5,1.1921
B,1000,6,0.5853
B,1000,7,0.1784
