Tempo,Trat,Vaso,Controle
7,QG,id-01,10
14,QG,id-01,60
21,QG,id-01,50
28,QG,id-01,85
7,QG,id-02,10
14,QG,id-02,45
21,QG,id-02,45
28,QG,id-02,75
7,QG,id-03,25
14,QG,id-03,50
21,QG,id-03,80
28,QG,id-03,95
7,QG,id-04,50
14,QG,id-04,100
21,QG,id-04,70
28,QG,id-04,85
7,QGC,id-05,25
14,QGC,id-05,50
21,QGC,id-05,60
28,QGC,id-05,75
7,QGC,id-06,30
14,QGC,id-06,55
21,QGC,id-06,60
28,QGC,id-06,85
7,QGC,id-07,25
14,QGC,id-07,50
21,QGC,id-07,70
28,QGC,id-07,95
7,QGC,id-08,20
14,QGC,id-08,70
21,QGC,id-08,70
28,QGC,id-08,95
7,CH,id-09,50
14,CH,id-09,60
21,CH,id-09,70
28,CH,id-09,96
7,CH,id-10,50
14,CH,id-10,60
21,CH,id-10,75
28,CH,id-10,96
7,CH,id-11,50
14,CH,id-11,70
21,CH,id-11,70
28,CH,id-11,98
7,CH,id-12,49
14,CH,id-12,80
21,CH,id-12,65
28,CH,id-12,94
